PedidoID,Data,Categoria,Produto,Quantidade,PrecoUnitario,Receita
2052,2025-01-01,Beleza,Batom,2,443.81,887.62
1093,2025-01-01,Casa e Decoração,Vaso,2,226.35,452.7
1601,2025-01-01,Moda,Tênis,1,83.7,83.7
1695,2025-01-01,Beleza,Batom,5,35.54,177.7
2347,2025-01-01,Eletrônicos,Caixa de Som,3,274.84,824.52
1178,2025-01-01,Beleza,Batom,4,46.02,184.08
1636,2025-01-02,Eletrônicos,Fone de Ouvido,2,42.07,84.14
1455,2025-01-02,Moda,Camiseta,1,223.37,223.37
1712,2025-01-02,Esporte,Tênis de Corrida,3,415.47,1246.41
1591,2025-01-02,Eletrônicos,Caixa de Som,3,428.05,1284.15
1856,2025-01-03,Casa e Decoração,Tapete,2,39.17,78.34
1559,2025-01-03,Moda,Calça Jeans,3,381.12,1143.36
1938,2025-01-04,Beleza,Perfume,5,23.45,117.25
1113,2025-01-04,Casa e Decoração,Vaso,4,429.66,1718.64
2269,2025-01-05,Eletrônicos,Fone de Ouvido,4,66.9,267.6
2107,2025-01-05,Eletrônicos,Caixa de Som,3,338.23,1014.69
2041,2025-01-05,Eletrônicos,Caixa de Som,5,94.4,472.0
1643,2025-01-05,Casa e Decoração,Luminária,3,290.63,871.89
1442,2025-01-06,Casa e Decoração,Vaso,2,49.82,99.64
2033,2025-01-07,Eletrônicos,Smartwatch,4,390.19,1560.76
1132,2025-01-07,Esporte,Luvas,1,228.09,228.09
1617,2025-01-07,Casa e Decoração,Vaso,2,205.68,411.36
1798,2025-01-07,Eletrônicos,Fone de Ouvido,5,341.13,1705.65
2234,2025-01-09,Moda,Tênis,4,487.99,1951.96
1465,2025-01-09,Moda,Calça Jeans,1,68.43,68.43
1308,2025-01-10,Casa e Decoração,Vaso,2,476.56,953.12
1124,2025-01-11,Beleza,Creme Facial,2,80.59,161.18
2046,2025-01-11,Esporte,Garrafa Térmica,2,140.33,280.66
2004,2025-01-12,Moda,Calça Jeans,3,471.41,1414.23
2027,2025-01-12,Moda,Camiseta,3,149.21,447.63
2294,2025-01-13,Beleza,Creme Facial,4,206.61,826.44
2172,2025-01-13,Esporte,Tênis de Corrida,2,403.79,807.58
2345,2025-01-13,Esporte,Luvas,2,439.62,879.24
1004,2025-01-14,Beleza,Creme Facial,5,221.37,1106.85
1760,2025-01-14,Esporte,Garrafa Térmica,3,455.32,1365.96
1242,2025-01-14,Moda,Camiseta,3,399.19,1197.57
1678,2025-01-14,Casa e Decoração,Luminária,1,449.97,449.97
2415,2025-01-15,Eletrônicos,Smartwatch,2,431.27,862.54
2485,2025-01-15,Casa e Decoração,Vaso,5,104.47,522.35
2457,2025-01-15,Beleza,Perfume,2,421.73,843.46
1966,2025-01-15,Esporte,Tênis de Corrida,3,52.43,157.29
1203,2025-01-15,Eletrônicos,Carregador,1,160.82,160.82
1574,2025-01-16,Moda,Jaqueta,1,151.93,151.93
